DATE,mortgage_rate
2004-01-31,5.7125
2004-02-29,5.635
2004-03-31,5.445
2004-04-30,5.83
2004-05-31,6.27
2004-06-30,6.2875
2004-07-31,6.056
2004-08-31,5.8675
2004-09-30,5.754
2004-10-31,5.7225
2004-11-30,5.73
2004-12-31,5.752
2005-01-31,5.71
2005-02-28,5.6275
2005-03-31,5.928
2005-04-30,5.855
2005-05-31,5.72
2005-06-30,5.582
2005-07-31,5.695
2005-08-31,5.82
2005-09-30,5.774
2005-10-31,6.065
2005-11-30,6.33
2005-12-31,6.272
2006-01-31,6.145
2006-02-28,6.2525
2006-03-31,6.324
2006-04-30,6.5075
2006-05-31,6.5975
2006-06-30,6.682
2006-07-31,6.7625
2006-08-31,6.524
2006-09-30,6.4025
2006-10-31,6.3575
2006-11-30,6.24
2006-12-31,6.135
2007-01-31,6.2175
2007-02-28,6.285
2007-03-31,6.156
2007-04-30,6.18
2007-05-31,6.262
2007-06-30,6.6575
2007-07-31,6.695
2007-08-31,6.572
2007-09-30,6.3825
2007-10-31,6.375
2007-11-30,6.208
2007-12-31,6.095
2008-01-31,5.758
2008-02-29,5.9175
2008-03-31,5.97
2008-04-30,5.9175
2008-05-31,6.036
2008-06-30,6.32
2008-07-31,6.426
2008-08-31,6.4775
2008-09-30,6.0375
2008-10-31,6.2
2008-11-30,6.0875
2008-12-31,5.286
2009-01-31,5.0475
2009-02-28,5.13
2009-03-31,5.0025
2009-04-30,4.81
2009-05-31,4.8575
2009-06-30,5.42
2009-07-31,5.222
2009-08-31,5.1925
2009-09-30,5.0575
2009-10-31,4.952
2009-11-30,4.875
2009-12-31,4.93
2010-01-31,5.03
2010-02-28,4.99
2010-03-31,4.9675
2010-04-30,5.098
2010-05-31,4.8875
2010-06-30,4.7375
2010-07-31,4.564
2010-08-31,4.4275
2010-09-30,4.346
2010-10-31,4.225
2010-11-30,4.3
2010-12-31,4.714
2011-01-31,4.755
2011-02-28,4.9525
2011-03-31,4.836
2011-04-30,4.84
2011-05-31,4.6375
2011-06-30,4.51
2011-07-31,4.545
2011-08-31,4.27
2011-09-30,4.106
2011-10-31,4.0675
2011-11-30,3.9925
2011-12-31,3.958
2012-01-31,3.915
2012-02-29,3.89
2012-03-31,3.954
2012-04-30,3.91
2012-05-31,3.798
2012-06-30,3.675
2012-07-31,3.55
2012-08-31,3.602
2012-09-30,3.4975
2012-10-31,3.3825
2012-11-30,3.352
2012-12-31,3.345
2013-01-31,3.414
2013-02-28,3.5325
2013-03-31,3.565
2013-04-30,3.445
2013-05-31,3.536
2013-06-30,4.07
2013-07-31,4.37
2013-08-31,4.456
2013-09-30,4.49
2013-10-31,4.192
2013-11-30,4.255
2013-12-31,4.4575
2014-01-31,4.432
2014-02-28,4.3025
2014-03-31,4.3425
2014-04-30,4.3375
2014-05-31,4.192
2014-06-30,4.1625
2014-07-31,4.13
2014-08-31,4.115
2014-09-30,4.1625
2014-10-31,4.036
2014-11-30,3.9975
2014-12-31,3.864
2015-01-31,3.67
2015-02-28,3.71
2015-03-31,3.77
2015-04-30,3.672
2015-05-31,3.84
2015-06-30,3.9825
2015-07-31,4.046
2015-08-31,3.905
2015-09-30,3.89
2015-10-31,3.796
2015-11-30,3.9425
2015-12-31,3.964
2016-01-31,3.8725
2016-02-29,3.66
2016-03-31,3.694
2016-04-30,3.605
2016-05-31,3.6
2016-06-30,3.568
2016-07-31,3.44
2016-08-31,3.435
2016-09-30,3.46
2016-10-31,3.47
2016-11-30,3.77
2016-12-31,4.198
2017-01-31,4.15
2017-02-28,4.1675
2017-03-31,4.196
2017-04-30,4.045
2017-05-31,4.01
2017-06-30,3.904
2017-07-31,3.9675
2017-08-31,3.88
2017-09-30,3.805
2017-10-31,3.895
2017-11-30,3.922
2017-12-31,3.95
2018-01-31,4.0325
2018-02-28,4.33
2018-03-31,4.444
2018-04-30,4.4675
2018-05-31,4.586
2018-06-30,4.57
2018-07-31,4.5275
2018-08-31,4.55
2018-09-30,4.6275
2018-10-31,4.83
2018-11-30,4.866
2018-12-31,4.6375
2019-01-31,4.464
2019-02-28,4.37
2019-03-31,4.265
2019-04-30,4.1425
2019-05-31,4.072
2019-06-30,3.8025
2019-07-31,3.765
2019-08-31,3.616
2019-09-30,3.605
2019-10-31,3.688
2019-11-30,3.695
2019-12-31,3.72
2020-01-31,3.624
2020-02-29,3.465
2020-03-31,3.45
2020-04-30,3.306
2020-05-31,3.2325
2020-06-30,3.1625
2020-07-31,3.016
2020-08-31,2.935
2020-09-30,2.89
2020-10-31,2.834
2020-11-30,2.765
2020-12-31,2.684
2021-01-31,2.735
2021-02-28,2.81
2021-03-31,3.0825
2021-04-30,3.06
2021-05-31,2.9625
2021-06-30,2.975
2021-07-31,2.868
2021-08-31,2.8425
2021-09-30,2.9
2021-10-31,3.0675
2021-11-30,3.0675
2021-12-31,3.098
2022-01-31,3.445
2022-02-28,3.7625
2022-03-31,4.172
2022-04-30,4.9825
2022-05-31,5.23
2022-06-30,5.522
2022-07-31,5.4125
2022-08-31,5.2225
2022-09-30,6.112
2022-10-31,6.9
2022-11-30,6.805
2022-12-31,6.364
2023-01-31,6.2725
2023-02-28,6.2575
2023-03-31,6.544
2023-04-30,6.3425
2023-05-31,6.425
2023-06-30,6.714
2023-07-31,6.84
2023-08-31,7.18
2023-09-30,7.31
2023-10-31,7.79
2023-11-30,7.22
2023-12-31,6.61
2024-01-31,6.69
2024-02-29,6.94
