DATE,target
2004-01-01,141.646
2004-02-01,143.191
2004-03-01,145.058
2004-04-01,146.592
2004-05-01,148.185
2004-06-01,149.85
2004-07-01,151.337
2004-08-01,152.633
2004-09-01,154.177
2004-10-01,155.75
2004-11-01,157.526
2004-12-01,159.329
2005-01-01,161.287
2005-02-01,163.343
2005-03-01,165.812
2005-04-01,167.501
2005-05-01,169.35
2005-06-01,171.19
2005-07-01,172.859
2005-08-01,174.443
2005-09-01,176.437
2005-10-01,178.026
2005-11-01,179.68
2005-12-01,180.909
2006-01-01,182.32
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.328
2006-05-01,184.155
2006-06-01,183.506
2006-07-01,183.066
2006-08-01,182.595
2006-09-01,182.798
2006-10-01,183.197
2006-11-01,183.608
2006-12-01,184.138
2007-01-01,184.515
2007-02-01,184.597
2007-03-01,184.149
2007-04-01,183.009
2007-05-01,181.6
2007-06-01,180.253
2007-07-01,179.109
2007-08-01,178.116
2007-09-01,177.556
2007-10-01,176.623
2007-11-01,175.146
2007-12-01,174.341
2008-01-01,173.131
2008-02-01,171.539
2008-03-01,170.051
2008-04-01,168.336
2008-05-01,166.657
2008-06-01,165.016
2008-07-01,163.564
2008-08-01,161.987
2008-09-01,160.306
2008-10-01,158.326
2008-11-01,156.141
2008-12-01,153.618
2009-01-01,151.507
2009-02-01,150.015
2009-03-01,148.66
2009-04-01,147.947
2009-05-01,147.692
2009-06-01,148.088
2009-07-01,148.407
2009-08-01,148.277
2009-09-01,148.024
2009-10-01,147.85
2009-11-01,148.135
2009-12-01,147.928
2010-01-01,147.396
2010-02-01,145.631
2010-03-01,145.858
2010-04-01,146.403
2010-05-01,146.394
2010-06-01,145.72
2010-07-01,144.989
2010-08-01,143.914
2010-09-01,143.017
2010-10-01,142.528
2010-11-01,142.169
2010-12-01,142.056
2011-01-01,141.518
2011-02-01,140.345
2011-03-01,139.977
2011-04-01,140.008
2011-05-01,139.904
2011-06-01,139.861
2011-07-01,139.73
2011-08-01,139.308
2011-09-01,138.667
2011-10-01,137.951
2011-11-01,137.15
2011-12-01,136.673
2012-01-01,136.606
2012-02-01,136.531
2012-03-01,137.902
2012-04-01,139.152
2012-05-01,140.154
2012-06-01,141.03
2012-07-01,141.67
2012-08-01,142.28
2012-09-01,142.907
2012-10-01,143.598
2012-11-01,144.582
2012-12-01,145.499
2013-01-01,146.824
2013-02-01,147.781
2013-03-01,149.961
2013-04-01,151.518
2013-05-01,152.85
2013-06-01,154.202
2013-07-01,155.607
2013-08-01,156.963
2013-09-01,158.225
2013-10-01,159.24
2013-11-01,160.073
2013-12-01,160.993
2014-01-01,161.924
2014-02-01,162.523
2014-03-01,163.084
2014-04-01,163.39
2014-05-01,163.656
2014-06-01,164.067
2014-07-01,164.587
2014-08-01,165.212
2014-09-01,165.903
2014-10-01,166.639
2014-11-01,167.332
2014-12-01,168.047
2015-01-01,168.627
2015-02-01,169.124
2015-03-01,169.795
2015-04-01,170.293
2015-05-01,170.876
2015-06-01,171.477
2015-07-01,172.148
2015-08-01,172.931
2015-09-01,173.824
2015-10-01,174.789
2015-11-01,175.735
2015-12-01,176.537
2016-01-01,177.262
2016-02-01,177.641
2016-03-01,178.156
2016-04-01,178.759
2016-05-01,179.42
2016-06-01,180.09
2016-07-01,180.85
2016-08-01,181.84
2016-09-01,182.813
2016-10-01,183.743
2016-11-01,184.753
2016-12-01,185.716
2017-01-01,186.796
2017-02-01,187.314
2017-03-01,187.991
2017-04-01,188.721
2017-05-01,189.61
2017-06-01,190.519
2017-07-01,191.465
2017-08-01,192.649
2017-09-01,193.745
2017-10-01,194.792
2017-11-01,195.945
2017-12-01,197.164
2018-01-01,198.301
2018-02-01,199.228
2018-03-01,199.967
2018-04-01,200.662
2018-05-01,201.427
2018-06-01,202.241
2018-07-01,202.912
2018-08-01,203.661
2018-09-01,204.322
2018-10-01,205.089
2018-11-01,205.661
2018-12-01,206.148
2019-01-01,206.539
2019-02-01,206.864
2019-03-01,207.086
2019-04-01,207.537
2019-05-01,208.151
2019-06-01,208.643
2019-07-01,209.249
2019-08-01,210.029
2019-09-01,210.85
2019-10-01,211.751
2019-11-01,212.788
2019-12-01,213.944
2020-01-01,215.029
2020-02-01,215.893
2020-03-01,216.455
2020-04-01,216.856
2020-05-01,216.999
2020-06-01,217.57
2020-07-01,219.28
2020-08-01,222.265
2020-09-01,225.742
2020-10-01,229.685
2020-11-01,233.248
2020-12-01,236.555
2021-01-01,239.68
2021-02-01,242.419
2021-03-01,245.545
2021-04-01,249.123
2021-05-01,253.413
2021-06-01,258.23
2021-07-01,262.603
2021-08-01,266.593
2021-09-01,270.197
2021-10-01,273.603
2021-11-01,277.309
2021-12-01,281.506
2022-01-01,286.173
2022-02-01,291.223
2022-03-01,296.523
2022-04-01,300.595
2022-05-01,303.702
2022-06-01,304.456
2022-07-01,303.504
2022-08-01,301.066
2022-09-01,299.069
2022-10-01,298.699
2022-11-01,298.402
2022-12-01,297.658
2023-01-01,297.432
2023-02-01,297.7
2023-03-01,298.8
2023-04-01,300.297
2023-05-01,302.476
2023-06-01,304.323
2023-07-01,306.44
2023-08-01,308.858
2023-09-01,310.968
2023-10-01,312.866
2023-11-01,313.661
2023-12-01,314.381
2024-01-01,315.548
2024-02-01,317.194
2024-03-01,318.144
