DATE,consumer_confidence_index,consumer_price_index,emratio,GDP,house_start,income,median_sales_price,mortgage_rate,population,target,unemployed_rate
2004-01-01,103.8,186.3,62.3,0.0,3822.0,9731.8,212700.0,5.7125,292046.0,141.646,5.7
2004-01-31,0.0,0.0,0.0,11923.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,94.4,186.7,62.3,0.0,3692.0,9765.4,212700.0,5.635,292230.0,143.191,5.6
2004-02-29,0.0,0.0,0.0,11923.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,95.8,187.1,62.2,0.0,3996.0,9815.8,212700.0,5.445,292434.0,145.058,5.8
2004-03-31,0.0,0.0,0.0,11923.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,94.2,187.4,62.3,0.0,4006.0,9865.8,217600.0,5.83,292651.0,146.592,5.6
2004-04-30,0.0,0.0,0.0,12112.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,90.2,188.2,62.3,0.0,3962.0,9950.0,217600.0,6.27,292872.0,148.185,5.6
2004-05-31,0.0,0.0,0.0,12112.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,95.6,188.9,62.4,0.0,3656.0,9988.4,217600.0,6.2875,293103.0,149.85,5.6
2004-06-30,0.0,0.0,0.0,12112.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,96.7,189.1,62.5,0.0,4004.0,10033.0,213500.0,6.056,293350.0,151.337,5.5
2004-07-31,0.0,0.0,0.0,12305.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,95.9,189.2,62.4,0.0,4048.0,10078.2,213500.0,5.8675,293603.0,152.633,5.4
2004-08-31,0.0,0.0,0.0,12305.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,94.2,189.8,62.3,0.0,3810.0,10110.5,213500.0,5.754,293857.0,154.177,5.4
2004-09-30,0.0,0.0,0.0,12305.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,91.7,190.8,62.3,0.0,4144.0,10159.3,228800.0,5.7225,294104.0,155.75,5.5
2004-10-31,0.0,0.0,0.0,12527.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
