DATE,MORTGAGE30US
01-01-1987,9.204
01-02-1987,9.0825
01-03-1987,9.035
01-04-1987,9.8325
01-05-1987,10.596
01-06-1987,10.5375
01-07-1987,10.278
01-08-1987,10.33
01-09-1987,10.8875
01-10-1987,11.26
01-11-1987,10.65
01-12-1987,10.64
01-01-1988,10.3825
01-02-1988,9.8925
01-03-1988,9.93
01-04-1988,10.202
01-05-1988,10.455
01-06-1988,10.46
01-07-1988,10.432
01-08-1988,10.5975
01-09-1988,10.48
01-10-1988,10.3025
01-11-1988,10.265
01-12-1988,10.612
01-01-1989,10.73
01-02-1989,10.645
01-03-1989,11.032
01-04-1989,11.05
01-05-1989,10.7725
01-06-1989,10.196
01-07-1989,9.8825
01-08-1989,9.985
01-09-1989,10.126
01-10-1989,9.9475
01-11-1989,9.7675
01-12-1989,9.744
01-01-1990,9.895
01-02-1990,10.1975
01-03-1990,10.268
01-04-1990,10.37
01-05-1990,10.4775
01-06-1990,10.164
01-07-1990,10.035
01-08-1990,10.1
01-09-1990,10.175
01-10-1990,10.1775
01-11-1990,10.014
01-12-1990,9.6725
01-01-1991,9.6375
01-02-1991,9.365
01-03-1991,9.5
01-04-1991,9.4925
01-05-1991,9.472
01-06-1991,9.615
01-07-1991,9.575
01-08-1991,9.244
01-09-1991,9.0075
01-10-1991,8.855
01-11-1991,8.712
01-12-1991,8.4975
01-01-1992,8.432
01-02-1992,8.7625
01-03-1992,8.935
01-04-1992,8.8525
01-05-1992,8.672
01-06-1992,8.51
01-07-1992,8.128
01-08-1992,7.975
01-09-1992,7.9225
01-10-1992,8.088
01-11-1992,8.305
01-12-1992,8.206
01-01-1993,7.9925
01-02-1993,7.6825
01-03-1993,7.495
01-04-1993,7.472
01-05-1993,7.465
01-06-1993,7.4175
01-07-1993,7.206
01-08-1993,7.1125
01-09-1993,6.915
01-10-1993,6.834
01-11-1993,7.155
01-12-1993,7.172
01-01-1994,7.06
01-02-1994,7.1525
01-03-1994,7.675
01-04-1994,8.316
01-05-1994,8.5975
01-06-1994,8.3975
01-07-1994,8.614
01-08-1994,8.5125
01-09-1994,8.64
01-10-1994,8.925
01-11-1994,9.17
01-12-1994,9.198
01-01-1995,9.1475
01-02-1995,8.8275
01-03-1995,8.462
01-04-1995,8.32
01-05-1995,7.955
01-06-1995,7.566
01-07-1995,7.6075
01-08-1995,7.86
01-09-1995,7.636
01-10-1995,7.475
01-11-1995,7.3775
01-12-1995,7.2
01-01-1996,7.03
01-02-1996,7.075
01-03-1996,7.624
01-04-1996,7.925
01-05-1996,8.07
01-06-1996,8.32
01-07-1996,8.245
01-08-1996,8.002
01-09-1996,8.23
01-10-1996,7.915
01-11-1996,7.618
01-12-1996,7.5975
01-01-1997,7.824
01-02-1997,7.65
01-03-1997,7.8975
01-04-1997,8.1425
01-05-1997,7.944
01-06-1997,7.69
01-07-1997,7.4975
01-08-1997,7.48
01-09-1997,7.43
01-10-1997,7.294
01-11-1997,7.205
01-12-1997,7.095
01-01-1998,6.994
01-02-1998,7.0425
01-03-1998,7.1275
01-04-1998,7.14
01-05-1998,7.144
01-06-1998,6.9975
01-07-1998,6.952
01-08-1998,6.9225
01-09-1998,6.7225
01-10-1998,6.71
01-11-1998,6.865
01-12-1998,6.738
01-01-1999,6.785
01-02-1999,6.8075
01-03-1999,7.04
01-04-1999,6.916
01-05-1999,7.145
01-06-1999,7.55
01-07-1999,7.632
01-08-1999,7.9425
01-09-1999,7.8225
01-10-1999,7.852
01-11-1999,7.7375
01-12-1999,7.912
01-01-2000,8.21
01-02-2000,8.325
01-03-2000,8.24
01-04-2000,8.1525
01-05-2000,8.515
01-06-2000,8.288
01-07-2000,8.1475
01-08-2000,8.0275
01-09-2000,7.912
01-10-2000,7.795
01-11-2000,7.745
01-12-2000,7.382
01-01-2001,7.0325
01-02-2001,7.05
01-03-2001,6.952
01-04-2001,7.0775
01-05-2001,7.145
01-06-2001,7.16
01-07-2001,7.1275
01-08-2001,6.95
01-09-2001,6.8175
01-10-2001,6.6175
01-11-2001,6.658
01-12-2001,7.065
01-01-2002,6.9975
01-02-2002,6.8925
01-03-2002,7.014
01-04-2002,6.985
01-05-2002,6.806
01-06-2002,6.65
01-07-2002,6.485
01-08-2002,6.29
01-09-2002,6.0925
01-10-2002,6.1125
01-11-2002,6.068
01-12-2002,6.0475
01-01-2003,5.916
01-02-2003,5.8425
01-03-2003,5.745
01-04-2003,5.8125
01-05-2003,5.484
01-06-2003,5.23
01-07-2003,5.6325
01-08-2003,6.264
01-09-2003,6.1475
01-10-2003,5.952
01-11-2003,5.9325
01-12-2003,5.876
01-01-2004,5.7125
01-02-2004,5.635
01-03-2004,5.445
01-04-2004,5.83
01-05-2004,6.27
01-06-2004,6.2875
01-07-2004,6.056
01-08-2004,5.8675
01-09-2004,5.754
01-10-2004,5.7225
01-11-2004,5.73
01-12-2004,5.752
01-01-2005,5.71
01-02-2005,5.6275
01-03-2005,5.928
01-04-2005,5.855
01-05-2005,5.72
01-06-2005,5.582
01-07-2005,5.695
01-08-2005,5.82
01-09-2005,5.774
01-10-2005,6.065
01-11-2005,6.33
01-12-2005,6.272
01-01-2006,6.145
01-02-2006,6.2525
01-03-2006,6.324
01-04-2006,6.5075
01-05-2006,6.5975
01-06-2006,6.682
01-07-2006,6.7625
01-08-2006,6.524
01-09-2006,6.4025
01-10-2006,6.3575
01-11-2006,6.24
01-12-2006,6.135
01-01-2007,6.2175
01-02-2007,6.285
01-03-2007,6.156
01-04-2007,6.18
01-05-2007,6.262
01-06-2007,6.6575
01-07-2007,6.695
01-08-2007,6.572
01-09-2007,6.3825
01-10-2007,6.375
01-11-2007,6.208
01-12-2007,6.095
01-01-2008,5.758
01-02-2008,5.9175
01-03-2008,5.97
01-04-2008,5.9175
01-05-2008,6.036
01-06-2008,6.32
01-07-2008,6.426
01-08-2008,6.4775
01-09-2008,6.0375
01-10-2008,6.2
01-11-2008,6.0875
01-12-2008,5.286
01-01-2009,5.0475
01-02-2009,5.13
01-03-2009,5.0025
01-04-2009,4.81
01-05-2009,4.8575
01-06-2009,5.42
01-07-2009,5.222
01-08-2009,5.1925
01-09-2009,5.0575
01-10-2009,4.952
01-11-2009,4.875
01-12-2009,4.93
01-01-2010,5.03
01-02-2010,4.99
01-03-2010,4.9675
01-04-2010,5.098
01-05-2010,4.8875
01-06-2010,4.7375
01-07-2010,4.564
01-08-2010,4.4275
01-09-2010,4.346
01-10-2010,4.225
01-11-2010,4.3
01-12-2010,4.714
01-01-2011,4.755
01-02-2011,4.9525
01-03-2011,4.836
01-04-2011,4.84
01-05-2011,4.6375
01-06-2011,4.51
01-07-2011,4.545
01-08-2011,4.27
01-09-2011,4.106
01-10-2011,4.0675
01-11-2011,3.9925
01-12-2011,3.958
01-01-2012,3.915
01-02-2012,3.89
01-03-2012,3.954
01-04-2012,3.91
01-05-2012,3.798
01-06-2012,3.675
01-07-2012,3.55
01-08-2012,3.602
01-09-2012,3.4975
01-10-2012,3.3825
01-11-2012,3.352
01-12-2012,3.345
01-01-2013,3.414
01-02-2013,3.5325
01-03-2013,3.565
01-04-2013,3.445
01-05-2013,3.536
01-06-2013,4.07
01-07-2013,4.37
01-08-2013,4.456
01-09-2013,4.49
01-10-2013,4.192
01-11-2013,4.255
01-12-2013,4.4575
01-01-2014,4.432
01-02-2014,4.3025
01-03-2014,4.3425
01-04-2014,4.3375
01-05-2014,4.192
01-06-2014,4.1625
01-07-2014,4.13
01-08-2014,4.115
01-09-2014,4.1625
01-10-2014,4.036
01-11-2014,3.9975
01-12-2014,3.864
01-01-2015,3.67
01-02-2015,3.71
01-03-2015,3.77
01-04-2015,3.672
01-05-2015,3.84
01-06-2015,3.9825
01-07-2015,4.046
01-08-2015,3.905
01-09-2015,3.89
01-10-2015,3.796
01-11-2015,3.9425
01-12-2015,3.964
01-01-2016,3.8725
01-02-2016,3.66
01-03-2016,3.694
01-04-2016,3.605
01-05-2016,3.6
01-06-2016,3.568
01-07-2016,3.44
01-08-2016,3.435
01-09-2016,3.46
01-10-2016,3.47
01-11-2016,3.77
01-12-2016,4.198
01-01-2017,4.15
01-02-2017,4.1675
01-03-2017,4.196
01-04-2017,4.045
01-05-2017,4.01
01-06-2017,3.904
01-07-2017,3.9675
01-08-2017,3.88
01-09-2017,3.805
01-10-2017,3.895
01-11-2017,3.922
01-12-2017,3.95
01-01-2018,4.0325
01-02-2018,4.33
01-03-2018,4.444
01-04-2018,4.4675
01-05-2018,4.586
01-06-2018,4.57
01-07-2018,4.5275
01-08-2018,4.55
01-09-2018,4.6275
01-10-2018,4.83
01-11-2018,4.866
01-12-2018,4.6375
01-01-2019,4.464
01-02-2019,4.37
01-03-2019,4.265
01-04-2019,4.1425
01-05-2019,4.072
01-06-2019,3.8025
01-07-2019,3.765
01-08-2019,3.616
01-09-2019,3.605
01-10-2019,3.688
01-11-2019,3.695
01-12-2019,3.72
01-01-2020,3.624
01-02-2020,3.465
01-03-2020,3.45
01-04-2020,3.306
01-05-2020,3.2325
01-06-2020,3.1625
01-07-2020,3.016
01-08-2020,2.935
01-09-2020,2.89
01-10-2020,2.834
01-11-2020,2.765
01-12-2020,2.684
01-01-2021,2.735
01-02-2021,2.81
01-03-2021,3.0825
01-04-2021,3.06
01-05-2021,2.9625
01-06-2021,2.975
01-07-2021,2.868
01-08-2021,2.8425
01-09-2021,2.9
01-10-2021,3.0675
01-11-2021,3.0675
01-12-2021,3.098
01-01-2022,3.445
01-02-2022,3.7625
01-03-2022,4.172
01-04-2022,4.9825
01-05-2022,5.23
01-06-2022,5.522
01-07-2022,5.4125
01-08-2022,5.2225
01-09-2022,6.112
01-10-2022,6.9
01-11-2022,6.805
01-12-2022,6.364
01-01-2023,6.2725
01-02-2023,6.2575
01-03-2023,6.544
01-04-2023,6.3425
01-05-2023,6.425
01-06-2023,6.714
01-07-2023,6.84
01-08-2023,7.072
31-08-2023,7.18
07-09-2023,7.12
14-09-2023,7.18
21-09-2023,7.19
28-09-2023,7.31
05-10-2023,7.49
12-10-2023,7.57
19-10-2023,7.63
26-10-2023,7.79
02-11-2023,7.76
09-11-2023,7.5
16-11-2023,7.44
22-11-2023,7.29
30-11-2023,7.22
